name_lower,name,category_raw,description,brand,price,mrp,image_url,product_url,specifications_raw,rating,review_count,seller,source,non_null_count
barepepe digital black clock,Barepepe Digital Black Clock,Home And Furniture,,,,,https://rukminim1.flixcart.com/image/612/612/xif0q/table-clock/l/3/d/projectable-alarm-clock-with-fm-radio-160-br-pr-alm-clk-barepepe-original-imagkzeha5rnpegv.jpeg?q=70,,Alarm Height x Width 100 mm x 160 mm Digital,,,,DF2,6
"dish tv hd dth, hindi family saver pack 1 month,hd set top box connection + fast installation","Dish Tv Hd Dth, Hindi Family Saver Pack 1 Month,Hd Set Top Box Connection + Fast Installation",Electronics,"This offer includes DishTV HD set top box Connection with One Month subscription of Hindi Family Saver pack also with this package get 7 popular HD channels for no additional cost when you become an existing DishTV Subscriber , 5 Year Warranty on Set Top Box along with Delivery and Installation .DishTV offers the most extensive world of digital entertainment by offering a wide bouquet of 700+ channels and services across sports, news, lifestyle, entertainment and infotainment.",,,,https://rukminim1.flixcart.com/image/612/612/kql8sy80/dth-new/d/c/z/with-one-month-basic-fta-north-pack-free-installation-high-original-imag4kgyg2km5xyn.jpeg?q=70,,,3.0,,,DF2,7
"nirlon casting coated nonstick aluminium uttapam tawa 19 cm diameter  (aluminium, non-stick)","Nirlon Casting Coated Nonstick Aluminium Uttapam Tawa 19 Cm Diameter  (Aluminium, Non-Stick)",Home And Furniture,"Nirlon Uttapam / Snack maker is a useful addition to your kitchen space. The unique base at the bottom of this pan ensures even heating across all 4 compartments, helping you prepare delicious snacks without spending much time in the kitchen. The ergonomic handle of this pan features for additional strength and durability. Featuring a unique quick snack maker with 4 layer nonstick coating with 4 separate compartments for making various snacks such as dosas, parathas, uttapam, pancakes, chilas and many more dishes.",,,,https://rukminim1.flixcart.com/image/612/612/kzblocw0/pot-pan/4/f/t/2-6mm-cup4-nirlon-original-imagbcz4m7zz3haj.jpeg?q=70,,"Made of: Aluminium Type: Tawa Non-stick, Dishwasher Safe Capacity: 0.5 L Diameter: 19 cm",5.0,,,DF2,8
nnpro silver silver bracelet,Nnpro Silver Silver Bracelet,Women'S Wear,,,,,https://rukminim1.flixcart.com/image/612/612/kkprmvk0/bangle-bracelet-armlet/t/u/n/3-3-1-silverbracelet-01-nnpro-original-imagyyf5fsqrkgqa.jpeg?q=70,,,3.5,,,DF2,6
trend level women regular fit dark blue wool trousers,Trend Level Women Regular Fit Dark Blue Wool Trousers,Women'S Wear,,,,,https://rukminim1.flixcart.com/image/612/612/kgl5ua80-0/trouser/i/w/a/xl-woolen-t-style-prezone-original-imafwsp2dxtrdxht.jpeg?q=70,,,4.0,,,DF2,6
trend level women regular fit maroon wool trousers,Trend Level Women Regular Fit Maroon Wool Trousers,Women'S Wear,,,,,https://rukminim1.flixcart.com/image/612/612/kgl5ua80-0/trouser/o/u/s/l-woolen-t-style-prezone-original-imafwsp2ahepwegz.jpeg?q=70,,,4.0,,,DF2,6
zayla women skinny mid rise blue jeans,Zayla Women Skinny Mid Rise Blue Jeans,Women'S Wear,,,,,https://rukminim1.flixcart.com/image/612/612/l12h1u80/jean/k/g/3/30-jeans-blue2-1-zayla-original-imagcpy7rpfgwa2b.jpeg?q=70,,,4.0,,,DF2,6
